Date,USD (PM),xielv,dis
2016-09-11,0.0,0.0,0 days
2016-09-12,1324.6,0.1,1 days
2016-09-13,1323.65,0.1,2 days
2016-09-14,1321.75,0.1,3 days
2016-09-15,1310.8,0.1,4 days
2016-09-16,1308.35,0.1,5 days
2016-09-17,0.0,0.0,6 days
2016-09-18,0.0,0.0,7 days
2016-09-19,1314.85,0.1,8 days
2016-09-20,1313.8,0.1,9 days
2016-09-21,1326.1,0.1,10 days
2016-09-22,1339.1,0.1,11 days
2016-09-23,1338.65,0.1,12 days
2016-09-24,0.0,0.0,13 days
2016-09-25,0.0,0.0,14 days
2016-09-26,1340.5,0.1,15 days
2016-09-27,1327.0,0.1,16 days
2016-09-28,1322.5,0.1,17 days
2016-09-29,1318.1,0.1,18 days
2016-09-30,1322.5,0.1,19 days
2016-10-01,0.0,0.0,20 days
2016-10-02,0.0,0.0,21 days
2016-10-03,1313.3,0.1,22 days
2016-10-04,1283.3,0.1,23 days
2016-10-05,1269.4,0.1,24 days
2016-10-06,1254.5,0.1,25 days
2016-10-07,1258.75,0.1,26 days
2016-10-08,0.0,0.0,27 days
2016-10-09,0.0,0.0,28 days
2016-10-10,1259.5,0.1,29 days
2016-10-11,1253.45,0.1,30 days
2016-10-12,1256.5,0.1,31 days
2016-10-13,1261.05,0.1,32 days
2016-10-14,1251.75,0.1,33 days
2016-10-15,0.0,0.0,34 days
2016-10-16,0.0,0.0,35 days
2016-10-17,1254.8,0.1,36 days
2016-10-18,1258.2,0.1,37 days
2016-10-19,1269.05,0.1,38 days
2016-10-20,1271.65,0.1,39 days
2016-10-21,1266.05,0.1,40 days
2016-10-22,0.0,0.0,41 days
2016-10-23,0.0,0.0,42 days
2016-10-24,1265.55,-0.149054595,43 days
2016-10-25,1269.4,-0.119529859,44 days
2016-10-26,1270.5,-0.122362017,45 days
2016-10-27,1266.25,-0.147011488,46 days
2016-10-28,1273.0,-0.092651911,47 days
2016-10-29,0.0,0.0,48 days
2016-10-30,0.0,0.0,49 days
2016-10-31,1272.0,-0.116058971,50 days
2016-11-01,1288.45,-0.026719441,51 days
2016-11-02,1303.75,0.023171916,52 days
2016-11-03,1301.0,-0.054872142,53 days
2016-11-04,1302.8,-0.035967852,54 days
2016-11-05,0.0,0.0,55 days
2016-11-06,0.0,0.0,56 days
2016-11-07,1283.05,-0.133673148,57 days
2016-11-08,1282.35,-0.079625395,58 days
2016-11-09,1281.4,-0.080055469,59 days
2016-11-10,1267.5,-0.131667602,60 days
2016-11-11,1236.45,-0.274464515,61 days
2016-11-12,0.0,0.0,62 days
2016-11-13,0.0,0.0,63 days
2016-11-14,1213.6,-0.31664768,64 days
2016-11-15,1226.95,-0.159892294,65 days
2016-11-16,1229.2,-0.166928978,66 days
2016-11-17,1226.75,-0.165764549,67 days
2016-11-18,1211.0,-0.199345278,68 days
2016-11-19,0.0,0.0,69 days
2016-11-20,0.0,0.0,70 days
2016-11-21,1214.25,-0.176297565,71 days
2016-11-22,1212.25,-0.1830318,72 days
2016-11-23,1185.35,-0.238680736,73 days
2016-11-24,1186.1,-0.225227032,74 days
2016-11-25,1187.7,-0.211057082,75 days
2016-11-26,0.0,0.0,76 days
2016-11-27,0.0,0.0,77 days
2016-11-28,1187.0,-0.214218059,78 days
2016-11-29,1186.55,-0.20591326,79 days
2016-11-30,1178.1,-0.217783298,80 days
2016-12-01,1161.85,-0.2363067,81 days
2016-12-02,1173.5,-0.229174706,82 days
2016-12-03,0.0,0.0,83 days
2016-12-04,0.0,0.0,84 days
2016-12-05,1162.2,-0.236978213,85 days
2016-12-06,1172.5,-0.208071106,86 days
2016-12-07,1177.65,-0.199748855,87 days
2016-12-08,1171.05,-0.209308417,88 days
2016-12-09,1163.6,-0.21700318,89 days
2016-12-10,0.0,0.0,90 days
2016-12-11,0.0,0.0,91 days
2016-12-12,1156.1,-0.22508989,92 days
2016-12-13,1158.55,-0.215218111,93 days
2016-12-14,1162.25,-0.206850622,94 days
2016-12-15,1126.95,-0.257918956,95 days
2016-12-16,1131.6,-0.247181115,96 days
2016-12-17,0.0,0.0,97 days
2016-12-18,0.0,0.0,98 days
2016-12-19,1136.25,-0.236806538,99 days
2016-12-20,1125.7,-0.248859243,100 days
2016-12-21,1133.65,-0.233941986,101 days
2016-12-22,1131.35,-0.233991275,102 days
2016-12-23,,0.0,103 days
2016-12-24,0.0,0.0,104 days
2016-12-25,0.0,0.0,105 days
2016-12-26,0.0,0.0,106 days
2016-12-27,0.0,0.0,107 days
2016-12-28,1134.6,-0.223279863,108 days
2016-12-29,1145.9,-0.205193806,109 days
2016-12-30,,0.0,110 days
2016-12-31,0.0,0.0,111 days
2017-01-01,0.0,0.0,112 days
2017-01-02,0.0,0.0,113 days
2017-01-03,1151.0,-0.193365856,114 days
2017-01-04,1164.25,-0.174339428,115 days
2017-01-05,1176.7,-0.157113113,116 days
2017-01-06,1175.85,-0.15617806,117 days
2017-01-07,0.0,0.0,118 days
2017-01-08,0.0,0.0,119 days
2017-01-09,1178.5,-0.151184329,120 days
2017-01-10,1189.5,-0.134694343,121 days
2017-01-11,1178.55,-0.147527937,122 days
2017-01-12,1205.05,-0.116714707,123 days
2017-01-13,1190.35,-0.131141807,124 days
2017-01-14,0.0,0.0,125 days
2017-01-15,0.0,0.0,126 days
2017-01-16,1203.0,-0.11618464,127 days
2017-01-17,1216.05,-0.101436842,128 days
2017-01-18,1214.75,-0.101606889,129 days
2017-01-19,1196.05,-0.11942087,130 days
2017-01-20,1200.55,-0.113546859,131 days
2017-01-21,0.0,0.0,132 days
2017-01-22,0.0,0.0,133 days
2017-01-23,1212.85,-0.100150375,134 days
2017-01-24,1216.8,-0.095261318,135 days
2017-01-25,1195.0,-0.115374346,136 days
2017-01-26,1189.7,-0.119357821,137 days
2017-01-27,1184.85,-0.122861899,138 days
2017-01-28,0.0,0.0,139 days
2017-01-29,0.0,0.0,140 days
2017-01-30,1192.8,-0.113913714,141 days
2017-01-31,1212.8,-0.09406467,142 days
2017-02-01,1203.65,-0.101501033,143 days
2017-02-02,1221.95,-0.084005074,144 days
2017-02-03,1215.2,-0.089134984,145 days
2017-02-04,0.0,0.0,146 days
2017-02-05,0.0,0.0,147 days
2017-02-06,1226.75,-0.07819961,148 days
2017-02-07,1231.0,-0.073821104,149 days
2017-02-08,1242.1,-0.063865171,150 days
2017-02-09,1236.8,-0.067609193,151 days
2017-02-10,1228.3,-0.073963242,152 days
2017-02-11,0.0,0.0,153 days
2017-02-12,0.0,0.0,154 days
2017-02-13,1222.25,-0.078260749,155 days
2017-02-14,1230.75,-0.07060585,156 days
2017-02-15,1224.4,-0.075078896,157 days
2017-02-16,1240.55,-0.061592908,158 days
2017-02-17,1241.95,-0.059953667,159 days
2017-02-18,0.0,0.0,160 days
2017-02-19,0.0,0.0,161 days
2017-02-20,1237.3,-0.062997194,162 days
2017-02-21,1233.2,-0.065589483,163 days
2017-02-22,1236.65,-0.062385581,164 days
2017-02-23,1247.9,-0.05344631,165 days
2017-02-24,1253.65,-0.048788577,166 days
