,gold_price,7day_zdf_exp,zdf_real,std_1_yesterday,std_past_7day,,bit_price,7day_zdf_exp,zdf_real,std_1_yesterday,std_past_7day
0,0,0,-0.0518658,,,,621.65,0.1,-1.927129414,,
1,1324.6,0.1,-0.071719764,,,,609.67,0.1,0.20502895,,
2,1323.65,0.1,-0.143542477,,,,610.92,0.1,-0.343743862,,
3,1321.75,0.1,-0.828447134,,,,608.82,0.1,0.256233369,,
4,1310.8,0.1,-0.186908758,,,,610.38,0.1,-0.208067106,,
5,1308.35,0.1,0.496808958,0.324324205,,,609.11,0.1,-0.339840095,,
6,0,0,-0.0518658,0.422761409,,,607.04,0.1,0.747891407,,
7,0,0,-0.0518658,0.387082317,,,611.58,0.1,-0.22728016,,
8,1314.85,0.1,-0.079857018,0.359168986,0.387082317,,610.19,0.1,-0.250741572,,
9,1313.8,0.1,0.936215558,0.336133977,0.386926577,,608.66,0.1,-1.606808399,,
10,1326.1,0.1,0.980318226,0.457610281,0.555053733,,598.88,0.1,-0.243788405,,
11,1339.1,0.1,-0.03360466,0.52575878,0.505776763,,597.42,0.1,-0.559070671,,
12,1338.65,0.1,0.138198932,0.502481248,0.484461681,,594.08,0.1,1.64960948,0.741047837,
13,0,0,-0.0518658,0.481396981,0.480822979,,603.88,0.1,-0.354375041,0.904782082,1.025880131
14,0,0,-0.0518658,0.463870628,0.480822979,,601.74,0.1,-0.458669857,0.87003851,0.962018154
15,1340.5,0.1,-1.007086908,0.448129088,0.480822979,,598.98,0.1,1.165314368,0.840489775,0.965976818
16,1327,0.1,-0.339110776,0.508947458,0.678107081,,605.96,0.1,-0.047857944,0.885139793,1.10643563
17,1322.5,0.1,-0.332703214,0.499456276,0.591159656,,605.67,0.1,-0.300493668,0.857433905,0.875604683
18,1318.1,0.1,0.333813823,0.489996975,0.379311005,,603.85,0.1,0.917446386,0.832593001,0.880260967
19,1322.5,0.1,-0.695652174,0.483876469,0.434057055,,609.39,0.1,0.891054989,0.845914262,0.856849963
20,0,0,-0.0518658,0.494548794,0.444164064,,614.82,0.1,-0.299274584,0.852734606,0.701536975
21,0,0,-0.0518658,0.482026916,0.444164064,,612.98,0.1,-0.184345329,0.832895971,0.69377491
22,1313.3,0.1,-2.284321937,0.470410437,0.444164064,,611.85,0.1,-0.364468415,0.813231125,0.652485387
23,1283.3,0.1,-1.083145017,0.65378093,0.853617441,,609.62,0.1,-0.400249336,0.79691806,0.567324476
24,1269.4,0.1,-1.17378289,0.66710095,0.877848619,,607.18,0.1,0.807009454,0.782105764,0.596229248
25,1254.5,0.1,0.338780391,0.6820423,0.893370217,,612.08,0.1,0.838125735,0.78661179,0.637248401
26,1258.75,0.1,0.05958292,0.677492033,0.894343689,,617.21,0.1,-0.400187943,0.79054881,0.622808893
27,0,0,-0.0518658,0.666323236,0.941324093,,614.74,0.1,0.148030061,0.77856026,0.567223205
28,0,0,-0.0518658,0.654448449,0.941324093,,615.65,0.1,0.306992609,0.764818979,0.552969385
29,1259.5,0.1,-0.480349345,0.643186304,0.941324093,,617.54,0.1,-0.44855394,0.753667845,0.547434449
30,1253.45,0.1,0.243328414,0.6342543,0.584956934,,614.77,0.059553,3.292288173,0.744679017,0.560941042
31,1256.5,0.1,0.362116992,0.6285987,0.518561426,,635.01,0.067868,0.149603943,0.945017849,1.272862113
32,1261.05,0.1,-0.737480671,0.62584637,0.29428104,,635.96,0.070317,-0.305050632,0.929749547,1.283477643
33,1251.75,0.1,0.243658878,0.62396626,0.389936821,,634.02,0.059123,0.618277026,0.917499072,1.313845948
34,0,0,-0.0518658,0.618791067,0.407801513,,637.94,0.075104,0.545505847,0.908481464,1.267074088
35,0,0,-0.0518658,0.609955408,0.407801513,,641.42,0.252934,-0.381965015,0.898472557,1.255572367
36,1254.8,0.1,0.270959515,0.601487607,0.407801513,,638.97,0.075295,-0.419425012,0.889081055,1.307752945
37,1258.2,0.1,0.86234303,0.597376253,0.378874582,,636.29,0.062185,-1.106413742,0.880484992,1.304289203
38,1269.05,0.1,0.204877664,0.611816301,0.490177613,,629.25,0.031784,-0.243146603,0.889109237,0.609052392
39,1271.65,0.1,-0.440372744,0.606030719,0.481195694,,627.72,0.024795,0.669088128,0.878468806,0.597137399
40,1266.05,0.1,-0.039492911,0.600386809,0.400804489,,631.92,0.04063,3.728320041,0.873025774,0.673071912
41,0,0,-0.0518658,0.592986409,0.403847161,,655.48,0.125881,-0.340208702,1.036377707,1.588349877
