Date,USD (PM),xielv
2009/12/16,1324.6,666
9/13/16,1323.65,667
9/14/16,1321.75,668
9/15/16,1310.8,669
9/16/16,1308.35,670
9/19/16,1314.85,671
9/20/16,1313.8,672
9/21/16,1326.1,673
9/22/16,1339.1,674
9/23/16,1338.65,675
9/26/16,1340.5,676
9/27/16,1327,677
9/28/16,1322.5,678
9/29/16,1318.1,679
9/30/16,1322.5,680
2010/3/16,1313.3,681
2010/4/16,1283.3,682
2010/5/16,1269.4,683
2010/6/16,1254.5,684
2010/7/16,1258.75,685
2010/10/16,1259.5,686
2010/11/16,1253.45,687
2010/12/16,1256.5,688
10/13/16,1261.05,689
10/14/16,1251.75,690
10/17/16,1254.8,691
10/18/16,1258.2,692
10/19/16,1269.05,693
10/20/16,1271.65,694
10/21/16,1266.05,695
10/24/16,1265.55,-0.149054595
10/25/16,1269.4,-0.119529859
10/26/16,1270.5,-0.122362017
10/27/16,1266.25,-0.147011488
10/28/16,1273,-0.092651911
10/31/16,1272,-0.116058971
2011/1/16,1288.45,-0.026719441
2011/2/16,1303.75,0.023171916
2011/3/16,1301,-0.054872142
2011/4/16,1302.8,-0.035967852
2011/7/16,1283.05,-0.133673148
2011/8/16,1282.35,-0.079625395
2011/9/16,1281.4,-0.080055469
2011/10/16,1267.5,-0.131667602
2011/11/16,1236.45,-0.274464515
11/14/16,1213.6,-0.31664768
11/15/16,1226.95,-0.159892294
11/16/16,1229.2,-0.166928978
11/17/16,1226.75,-0.165764549
11/18/16,1211,-0.199345278
11/21/16,1214.25,-0.176297565
11/22/16,1212.25,-0.1830318
11/23/16,1185.35,-0.238680736
11/24/16,1186.1,-0.225227032
11/25/16,1187.7,-0.211057082
11/28/16,1187,-0.214218059
11/29/16,1186.55,-0.20591326
11/30/16,1178.1,-0.217783298
2012/1/16,1161.85,-0.2363067
2012/2/16,1173.5,-0.229174706
2012/5/16,1162.2,-0.236978213
2012/6/16,1172.5,-0.208071106
2012/7/16,1177.65,-0.199748855
2012/8/16,1171.05,-0.209308417
2012/9/16,1163.6,-0.21700318
2012/12/16,1156.1,-0.22508989
12/13/16,1158.55,-0.215218111
12/14/16,1162.25,-0.206850622
12/15/16,1126.95,-0.257918956
12/16/16,1131.6,-0.247181115
12/19/16,1136.25,-0.236806538
12/20/16,1125.7,-0.248859243
12/21/16,1133.65,-0.233941986
12/22/16,1131.35,-0.233991275
12/23/16,,
12/28/16,1134.6,-0.223279863
12/29/16,1145.9,-0.205193806
12/30/16,,
2001/3/17,1151,-0.193365856
2001/4/17,1164.25,-0.174339428
2001/5/17,1176.7,-0.157113113
2001/6/17,1175.85,-0.15617806
2001/9/17,1178.5,-0.151184329
2001/10/17,1189.5,-0.134694343
2001/11/17,1178.55,-0.147527937
2001/12/17,1205.05,-0.116714707
1/13/17,1190.35,-0.131141807
1/16/17,1203,-0.11618464
1/17/17,1216.05,-0.101436842
1/18/17,1214.75,-0.101606889
1/19/17,1196.05,-0.11942087
1/20/17,1200.55,-0.113546859
1/23/17,1212.85,-0.100150375
1/24/17,1216.8,-0.095261318
1/25/17,1195,-0.115374346
1/26/17,1189.7,-0.119357821
1/27/17,1184.85,-0.122861899
1/30/17,1192.8,-0.113913714
1/31/17,1212.8,-0.09406467
2002/1/17,1203.65,-0.101501033
2002/2/17,1221.95,-0.084005074
2002/3/17,1215.2,-0.089134984
2002/6/17,1226.75,-0.07819961
2002/7/17,1231,-0.073821104
2002/8/17,1242.1,-0.063865171
2002/9/17,1236.8,-0.067609193
2002/10/17,1228.3,-0.073963242
2/13/17,1222.25,-0.078260749
2/14/17,1230.75,-0.07060585
2/15/17,1224.4,-0.075078896
2/16/17,1240.55,-0.061592908
2/17/17,1241.95,-0.059953667
2/20/17,1237.3,-0.062997194
2/21/17,1233.2,-0.065589483
2/22/17,1236.65,-0.062385581
2/23/17,1247.9,-0.05344631
2/24/17,1253.65,-0.048788577
2/27/17,1257.2,-0.045821542
2/28/17,1255.6,-0.046571019
2003/1/17,1240.4,-0.057043131
2003/2/17,1238.1,-0.058220929
2003/3/17,1226.5,-0.066102228
2003/6/17,1230.95,-0.06236021
2003/7/17,1216.65,-0.072135971
2003/8/17,1209.2,-0.076963713
2003/9/17,1206.55,-0.078272761
2003/10/17,1202.65,-0.080477048
3/13/17,1204.2,-0.07872708
3/14/17,1204.6,-0.077826664
3/15/17,1198.8,-0.081347499
3/16/17,1229.35,-0.059599977
3/17/17,1229.6,-0.05897778
3/20/17,1232.4,-0.056676792
3/21/17,1241.6,-0.050262582
3/22/17,1249.05,-0.045138785
3/23/17,1247.5,-0.045780458
3/24/17,1247.5,-0.045443825
3/27/17,1257.55,-0.038918214
3/28/17,1257.25,-0.038818334
3/29/17,1251.1,-0.042264967
3/30/17,1248.8,-0.043355902
3/31/17,1244.85,-0.045435417
2004/3/17,1247.25,-0.043673547
2004/4/17,1257.65,-0.037226718
2004/5/17,1245.8,-0.043925372
2004/6/17,1252.5,-0.039699914
2004/7/17,1266.45,-0.031449144
2004/10/17,1250.05,-0.0405698
2004/11/17,1252.9,-0.038667052
2004/12/17,1274.3,-0.026491704
4/13/17,1284.15,-0.020999625
4/18/17,1278.95,-0.023637968
4/19/17,1279.05,-0.023429186
4/20/17,1282.1,-0.021665838
4/21/17,1281.85,-0.021655999
4/24/17,1269.4,-0.028054908
4/25/17,1267.8,-0.028719238
4/26/17,1261.85,-0.031674248
4/27/17,1262.8,-0.030973969
4/28/17,1266.45,-0.028877831
2005/2/17,1255.45,-0.034424916
2005/3/17,1250.3,-0.036910396
2005/4/17,1228.45,-0.048314421
2005/5/17,1228.05,-0.048233483
2005/8/17,1229.8,-0.047003473
2005/9/17,1220.4,-0.051746576
2005/10/17,1222.95,-0.050071502
2005/11/17,1223.15,-0.049665617
2005/12/17,1231.25,-0.045129317
5/15/17,1233.3,-0.043804158
5/16/17,1234.2,-0.043085781
5/17/17,1257.4,-0.031253579
5/18/17,1255.9,-0.031803374
5/19/17,1252,-0.033518625
5/22/17,1258.85,-0.030017357
