Date,price,xielv,zhangdiefu
2010/11/16,614.77,0.366114329,0.059553 
2010/12/16,635.01,0.43096775,0.067868 
10/13/16,635.96,0.4471875,0.070317 
10/14/16,634.02,0.374848479,0.059123 
10/15/16,637.94,0.47911765,0.075104 
10/16/16,641.42,1.622372261,0.252934 
10/17/16,638.97,0.481111121,0.075295 
10/18/16,636.29,0.395675671,0.062185 
10/19/16,629.25,0.2,0.031784 
10/20/16,627.72,0.155641029,0.024795 
10/21/16,631.92,0.25675,0.040630 
10/22/16,655.48,0.82512195,0.125881 
10/23/16,653.25,0.75238095,0.115175 
10/24/16,651.39,0.6916279,0.106177 
10/25/16,655.31,0.765,0.116739 
10/26/16,651.45,0.662222229,0.101654 
10/27/16,682.22,0.923945946,0.135432 
10/28/16,687.68,1.614296314,0.234745 
10/29/16,685.91,1.33875,0.195179 
10/30/16,698,0.928473639,0.133019 
10/31/16,702,1.299982589,0.185183 
2011/1/16,697.01,0.376926086,0.054078 
2011/2/16,733.33,3.680220261,0.501850 
2011/3/16,686.17,0.943009082,0.137431 
2011/4/16,683.69,1.338224868,0.195736 
2011/5/16,704.79,1.527633175,0.216750 
2011/6/16,712,1.641782789,0.230587 
2011/7/16,709.96,1.6460399,0.231850 
2011/8/16,708.97,1.619912561,0.228488 
2011/9/16,720.93,1.718714618,0.238402 
2011/10/16,721.5,1.743881729,0.241702 
2011/11/16,715.45,1.676140379,0.234278 
2011/12/16,703.71,1.509892718,0.214562 
11/13/16,702.28,1.4077263,0.200451 
11/14/16,706.46,1.4049382,0.198870 
11/15/16,710.91,1.435223521,0.201885 
11/16/16,711.73,1.439492171,0.202253 
11/17/16,736.96,1.671467379,0.226806 
11/18/16,747.52,1.845241736,0.246848 
11/19/16,748.98,1.888258879,0.252111 
11/20/16,729.06,1.689129229,0.231686 
11/21/16,738.53,1.704332336,0.230774 
11/22/16,736.97,1.676775668,0.227523 
11/23/16,741.63,1.696887632,0.228805 
11/24/16,737.45,1.64849815,0.223540 
11/25/16,735.64,1.600375979,0.217549 
11/26/16,733.67,1.551765139,0.211507 
11/27/16,727.96,1.468340639,0.201706 
11/28/16,727.31,1.423310639,0.195695 
11/29/16,732.71,1.447854068,0.197603 
11/30/16,742.69,1.530160479,0.206029 
2012/1/16,742.05,1.53523425,0.206891 
2012/2/16,772.43,1.789003836,0.231607 
2012/3/16,764.33,1.774215936,0.232127 
2012/4/16,762.97,1.744087568,0.228592 
2012/5/16,754.63,1.64944125,0.218576 
2012/6/16,756.62,1.6244665,0.214700 
2012/7/16,758.99,1.624058736,0.213976 
2012/8/16,769.72,1.699155018,0.220750 
2012/9/16,770.02,1.708553471,0.221884 
2012/10/16,769.08,1.6901611,0.219764 
2012/11/16,777,1.7342015,0.223192 
2012/12/16,777,1.733151639,0.223057 
12/13/16,777.99,1.727125582,0.221998 
12/14/16,774.89,1.688555079,0.217909 
12/15/16,776.75,1.678796611,0.216131 
12/16/16,775.88,1.65682815,0.213542 
12/17/16,788.7,1.734187868,0.219879 
12/18/16,788.4,1.740731321,0.220793 
12/19/16,788.67,1.744235529,0.221162 
12/20/16,793.09,1.748852039,0.220511 
12/21/16,824.21,1.96316125,0.238187 
12/22/16,834.97,2.090117636,0.250322 
12/23/16,901.31,2.715145632,0.301244 
12/24/16,891.61,2.595769232,0.291133 
12/25/16,892.6,2.580476182,0.289097 
12/26/16,897.33,2.600754718,0.289833 
12/27/16,930.37,8.004730225,0.860381 
12/28/16,930.34,6.433100889,0.691478 
12/29/16,963.38,9.944658186,1.032267 
12/30/16,952.15,7.852640204,0.824727 
12/31/16,958.12,6.937858068,0.724112 
2001/1/17,997.72,10.59758003,1.062180 
2001/2/17,1015.97,12.09749736,1.190734 
2001/3/17,1013.42,10.88660604,1.074244 
2001/4/17,1126.76,20.45387918,1.815283 
2001/5/17,994.67,10.11223814,1.016643 
2001/6/17,999.65,3.866492214,0.386785 
2001/7/17,896.83,2.261781654,0.252197 
2001/8/17,908.14,2.191059079,0.241269 
2001/9/17,910.49,2.200480682,0.241681 
2001/10/17,906.05,2.540840125,0.280430 
2001/11/17,785.22,1.386814814,0.176615 
2001/12/17,780.92,1.291102582,0.165331 
1/13/17,826.29,1.575021018,0.190614 
