Date,price,xielv,zhangdiefu
10/24/16,1265.55,-1.886360429,-0.149054595
10/25/16,1269.4,-1.517312036,-0.119529859
10/26/16,1270.5,-1.554609429,-0.122362017
10/27/16,1266.25,-1.861532964,-0.147011488
10/28/16,1273,-1.179458821,-0.092651911
10/31/16,1272,-1.476270107,-0.116058971
2011/1/16,1288.45,-0.344266643,-0.026719441
2011/2/16,1303.75,0.302103857,0.023171916
2011/3/16,1301,-0.713886571,-0.054872142
2011/4/16,1302.8,-0.468589179,-0.035967852
2011/7/16,1283.05,-1.715093321,-0.133673148
2011/8/16,1282.35,-1.02107625,-0.079625395
2011/9/16,1281.4,-1.025830786,-0.080055469
2011/10/16,1267.5,-1.668886857,-0.131667602
2011/11/16,1236.45,-3.3936165,-0.274464515
11/14/16,1213.6,-3.84283625,-0.31664768
11/15/16,1226.95,-1.9617985,-0.159892294
11/16/16,1229.2,-2.051891,-0.166928978
11/17/16,1226.75,-2.033516607,-0.165764549
11/18/16,1211,-2.414071321,-0.199345278
11/21/16,1214.25,-2.140693179,-0.176297565
11/22/16,1212.25,-2.218803,-0.1830318
11/23/16,1185.35,-2.829202107,-0.238680736
11/24/16,1186.1,-2.671417821,-0.225227032
11/25/16,1187.7,-2.506724964,-0.211057082
11/28/16,1187,-2.542768357,-0.214218059
11/29/16,1186.55,-2.443263786,-0.20591326
11/30/16,1178.1,-2.565705036,-0.217783298
2012/1/16,1161.85,-2.745529393,-0.2363067
2012/2/16,1173.5,-2.689365179,-0.229174706
2012/5/16,1162.2,-2.754160786,-0.236978213
2012/6/16,1172.5,-2.439633714,-0.208071106
2012/7/16,1177.65,-2.352342393,-0.199748855
2012/8/16,1171.05,-2.451106214,-0.209308417
2012/9/16,1163.6,-2.525049,-0.21700318
2012/12/16,1156.1,-2.602264214,-0.22508989
12/13/16,1158.55,-2.493409429,-0.215218111
12/14/16,1162.25,-2.404121357,-0.206850622
12/15/16,1126.95,-2.906617679,-0.257918956
12/16/16,1131.6,-2.7971015,-0.247181115
12/19/16,1136.25,-2.690714286,-0.236806538
12/20/16,1125.7,-2.8014085,-0.248859243
12/21/16,1133.65,-2.652083321,-0.233941986
12/22/16,1131.35,-2.647260286,-0.233991275
12/28/16,1134.6,-2.533333321,-0.223279863
12/29/16,1145.9,-2.351315821,-0.205193806
2001/3/17,1151,-2.225641,-0.193365856
2001/4/17,1164.25,-2.029746786,-0.174339428
2001/5/17,1176.7,-1.84875,-0.157113113
2001/6/17,1175.85,-1.836419714,-0.15617806
2001/9/17,1178.5,-1.781707321,-0.151184329
2001/10/17,1189.5,-1.602189214,-0.134694343
2001/11/17,1178.55,-1.7386905,-0.147527937
2001/12/17,1205.05,-1.406470571,-0.116714707
1/13/17,1190.35,-1.5610465,-0.131141807
1/16/17,1203,-1.397701214,-0.11618464
1/17/17,1216.05,-1.233522714,-0.101436842
1/18/17,1214.75,-1.234269679,-0.101606889
1/19/17,1196.05,-1.428333321,-0.11942087
1/20/17,1200.55,-1.363186821,-0.113546859
1/23/17,1212.85,-1.214673821,-0.100150375
1/24/17,1216.8,-1.159139714,-0.095261318
1/25/17,1195,-1.378723429,-0.115374346
1/26/17,1189.7,-1.42,-0.119357821
1/27/17,1184.85,-1.455729214,-0.122861899
1/30/17,1192.8,-1.358762786,-0.113913714
1/31/17,1212.8,-1.140816321,-0.09406467
2002/1/17,1203.65,-1.221717179,-0.101501033
2002/2/17,1221.95,-1.0265,-0.084005074
2002/3/17,1215.2,-1.083168321,-0.089134984
2002/6/17,1226.75,-0.959313714,-0.07819961
2002/7/17,1231,-0.908737786,-0.073821104
2002/8/17,1242.1,-0.793269286,-0.063865171
2002/9/17,1236.8,-0.8361905,-0.067609193
2002/10/17,1228.3,-0.9084905,-0.073963242
2/13/17,1222.25,-0.956542,-0.078260749
2/14/17,1230.75,-0.8689815,-0.07060585
