Date,USD (PM),dis
2016-09-11,1324.6,0 days
2016-09-12,1324.6,1 days
2016-09-13,1323.65,2 days
2016-09-14,1321.75,3 days
2016-09-15,1310.8,4 days
2016-09-16,1308.35,5 days
2016-09-17,1314.85,6 days
2016-09-18,1314.85,7 days
2016-09-19,1314.85,8 days
2016-09-20,1313.8,9 days
2016-09-21,1326.1,10 days
2016-09-22,1339.1,11 days
2016-09-23,1338.65,12 days
2016-09-24,1340.5,13 days
2016-09-25,1340.5,14 days
2016-09-26,1340.5,15 days
2016-09-27,1327.0,16 days
2016-09-28,1322.5,17 days
2016-09-29,1318.1,18 days
2016-09-30,1322.5,19 days
2016-10-01,1313.3,20 days
2016-10-02,1313.3,21 days
2016-10-03,1313.3,22 days
2016-10-04,1283.3,23 days
2016-10-05,1269.4,24 days
2016-10-06,1254.5,25 days
2016-10-07,1258.75,26 days
2016-10-08,1259.5,27 days
2016-10-09,1259.5,28 days
2016-10-10,1259.5,29 days
2016-10-11,1253.45,30 days
2016-10-12,1256.5,31 days
2016-10-13,1261.05,32 days
2016-10-14,1251.75,33 days
2016-10-15,1254.8,34 days
2016-10-16,1254.8,35 days
2016-10-17,1254.8,36 days
2016-10-18,1258.2,37 days
2016-10-19,1269.05,38 days
2016-10-20,1271.65,39 days
2016-10-21,1266.05,40 days
2016-10-22,1265.55,41 days
2016-10-23,1265.55,42 days
2016-10-24,1265.55,43 days
2016-10-25,1269.4,44 days
2016-10-26,1270.5,45 days
2016-10-27,1266.25,46 days
2016-10-28,1273.0,47 days
2016-10-29,1272.0,48 days
2016-10-30,1272.0,49 days
2016-10-31,1272.0,50 days
2016-11-01,1288.45,51 days
2016-11-02,1303.75,52 days
2016-11-03,1301.0,53 days
2016-11-04,1302.8,54 days
2016-11-05,1283.05,55 days
2016-11-06,1283.05,56 days
2016-11-07,1283.05,57 days
2016-11-08,1282.35,58 days
2016-11-09,1281.4,59 days
2016-11-10,1267.5,60 days
2016-11-11,1236.45,61 days
2016-11-12,1213.6,62 days
2016-11-13,1213.6,63 days
2016-11-14,1213.6,64 days
2016-11-15,1226.95,65 days
2016-11-16,1229.2,66 days
2016-11-17,1226.75,67 days
2016-11-18,1211.0,68 days
